,news_title,news_date,fact_checking_source
0,"
FALSE: Taiwan Central Epidemic Command Center (CECC) sent an email entitled “final notice” with an instruction to people who has contact with the COVID-19 case.
",Fact-Checked by: Taiwan FactCheck Center,2020/05/08 | Taiwan
1,"
FALSE: Brigitte Macron asked Didier Raoult treat her daughter with chloroquine.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
2,"
MISLEADING: Japanese schools re-opened then were closed again due to a second wave of coronavirus.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
3,"
FALSE: French Minister of Justice Nicole Belloubet threathened the famous anchor Jean-Pierre Pernaut after he criticized the government policy about the pandemic on air.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
4,"
FALSE: Famous French blue cheese, roquefort, is a “medecine against Covid-19”.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
5,"
FALSE: Spanish and French masks prices are comparable.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
6,"
FALSE: A Japanese Nobel Price said that SARS-CoV-2 was human made.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
7,"
FALSE: French President Macron and its spouse are jetskiing during the lockdown.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
8,"
FALSE: Administrative documents French people need to fill to go out are a copy paste from 1940 documents.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
9,"
FALSE: The SARS-CoV-2 has been engineered by man, edited from the VIH-1 virus.
",Fact-Checked by: Les Décodeurs,2020/05/08 | France
10,"
FALSE: Actress Deepika Padukone was seen buying alcohol during the lockdown in India.
",Fact-Checked by: BOOM FactCheck,2020/05/08 | India
11,"
FALSE: Wearing masks for a long period of time can cause hypoxia.
",Fact-Checked by: Agência Lupa,2020/05/07 | Brazil
12,"
FALSE: Adelio Bispo de Oliveira, a man who stabbed Bolsonaro back in 2018, has contracted COVID-19 while in jail.
",Fact-Checked by: Agência Lupa,2020/05/07 | Brazil
13,"
FALSE: 100 nurses in Rajasthan’s Jhalawar (India) resigned because of Jamaatis who misbehaved with them.
",Fact-Checked by: The Quint,2020/05/07 | India
14,"
FALSE: A video claiming that COVID-19 only kills people who already had other diseases and treatment can be done at home with antibiotics. The statement is based on a study by Giampaolo Palma with 50 autopsies at Pope John XXIII Hospital in Bergamo, Italy.
",Fact-Checked by: Estadão Verifica,2020/05/07 | Brazil
